,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
101,26,53,46,19,94,70,73,18,79,1,58,66,68,74,11,69
102,11,35,90,28,98,86,51,64,99,27,61,70,99,78,27,71
103,54,42,53,25,82,8,63,50,58,89,7,87,54,11,73,3
104,89,32,0,23,16,94,5,55,93,16,4,90,52,30,88,7
105,98,40,48,92,33,66,3,77,50,79,46,91,48,4,32,70
106,54,25,58,54,63,49,21,87,35,78,14,96,8,42,31,81
107,36,95,13,21,74,78,94,47,2,82,35,16,97,13,77,24
108,97,49,68,46,50,80,75,98,39,6,2,31,92,80,35,29
109,48,67,33,89,90,24,52,8,84,59,26,44,56,52,73,12
110,3,87,4,90,9,84,23,15,12,21,91,93,43,65,64,96
111,16,95,65,12,17,37,74,44,33,78,19,64,18,21,9,16
112,76,24,4,57,44,89,27,76,25,82,65,81,82,17,14,18
113,45,34,16,17,49,66,41,88,86,52,77,75,54,80,84,82
114,61,69,15,87,8,39,15,73,86,54,82,27,56,89,63,96
115,73,28,39,44,78,75,76,43,92,43,94,3,8,50,12,2
116,12,74,5,40,63,13,48,97,37,2,1,88,63,98,52,1
117,68,31,8,97,37,8,40,54,56,83,23,13,82,14,23,16
118,85,44,5,28,35,54,60,65,75,83,22,32,31,88,64,49
119,72,39,55,17,4,90,99,17,4,99,59,9,75,39,16,14
120,84,72,75,25,37,80,49,56,70,43,1,2,42,23,8,80
121,44,40,47,15,7,81,55,3,92,73,33,26,87,16,95,73
122,61,66,84,58,3,84,92,69,69,19,79,69,8,64,31,29
123,97,40,1,94,62,90,58,76,53,67,15,39,14,57,90,99
124,24,42,4,10,54,91,86,77,44,80,64,43,77,5,28,20
125,10,86,91,27,24,5,69,75,28,22,34,55,50,50,67,60
126,77,81,29,1,62,12,17,16,82,97,38,2,69,59,34,23
127,12,66,97,73,42,43,42,4,79,39,1,80,3,93,54,50
128,60,12,12,8,39,32,13,1,41,26,25,8,45,92,45,79
129,23,72,3,9,60,32,81,76,55,60,40,41,28,21,55,49
130,77,30,75,26,77,81,43,9,43,27,55,32,93,63,69,0
131,27,96,28,15,80,25,93,92,99,76,76,38,78,5,75,57
132,16,78,79,71,22,51,83,45,93,76,35,19,41,42,42,34
133,39,70,19,70,75,49,79,88,12,95,87,97,82,54,17,6
134,44,44,91,9,75,56,96,78,46,95,18,69,96,48,74,71
135,6,6,87,4,0,48,27,11,56,1,60,2,72,10,80,11
136,68,88,64,75,21,43,36,73,19,18,80,53,37,36,99,31
137,19,25,94,50,30,74,27,68,26,64,1,25,90,10,10,14
138,7,72,42,45,75,11,76,34,18,92,47,69,75,48,39,95
139,14,87,96,89,55,73,35,91,98,4,25,96,26,0,59,13
140,44,32,67,65,31,63,49,59,61,74,20,11,85,13,34,21
141,14,24,32,92,22,24,7,32,14,43,4,79,83,28,48,56
142,28,49,19,82,12,41,58,12,46,24,22,59,53,30,7,43
143,91,42,85,33,32,17,8,45,88,10,53,38,63,83,80,84
144,15,41,14,64,10,13,98,38,77,35,81,99,19,81,35,52
145,60,94,41,87,55,46,4,34,88,27,18,6,4,47,93,60
146,37,43,92,49,89,55,83,35,25,47,0,57,32,49,37,62
147,13,28,33,89,50,52,66,0,52,70,9,16,46,77,27,53
148,90,19,53,69,74,74,50,38,25,86,57,62,15,79,62,87
149,56,75,89,93,7,83,20,72,30,64,51,28,70,12,77,73
150,43,57,25,86,73,68,52,41,56,99,45,49,72,12,59,79
151,40,29,19,99,8,0,68,24,50,66,90,86,18,29,11,65
152,88,92,56,39,36,36,91,50,93,31,80,81,37,74,2,52
153,29,95,34,48,3,78,88,34,50,23,44,53,79,51,15,36
154,20,22,87,39,34,15,70,42,33,68,79,46,15,35,95,41
155,14,93,26,21,91,27,62,89,5,59,67,58,6,9,70,88
156,33,57,96,50,15,15,39,12,4,36,99,63,73,3,78,71
157,81,97,78,38,65,65,11,37,2,33,10,50,65,2,56,84
158,92,93,67,87,82,54,18,69,69,87,50,42,4,65,39,16
159,22,80,92,79,47,2,13,32,80,34,87,14,38,82,6,60
160,10,67,57,4,67,60,23,47,67,22,87,12,87,22,53,2
161,12,81,6,35,78,13,45,70,8,80,82,13,93,63,35,7
162,41,98,69,19,39,44,38,66,12,36,31,63,64,45,84,25
163,70,23,2,45,21,15,56,51,0,2,60,99,32,18,56,61
164,36,8,64,8,85,95,37,73,76,82,81,12,30,9,93,6
165,44,92,70,43,25,93,54,9,49,92,45,49,48,65,8,82
166,65,16,93,63,48,66,21,34,89,98,12,5,2,10,85,41
167,31,23,16,14,82,16,21,87,11,5,38,69,5,70,63,21
168,61,80,80,21,27,16,21,92,47,8,99,21,9,89,29,11
169,63,47,71,54,5,1,98,82,64,66,2,24,45,6,27,52
170,65,81,54,43,49,37,56,21,2,50,22,79,38,7,67,38
171,57,98,64,86,9,70,97,56,17,77,3,11,87,51,73,14
172,60,26,37,78,65,44,70,3,28,39,69,16,49,32,55,53
173,53,17,22,85,85,61,21,60,16,6,55,62,75,77,87,23
174,50,60,56,11,65,59,85,7,75,55,82,56,83,25,11,45
175,10,30,19,64,87,45,73,68,70,97,98,19,85,17,53,52
176,13,63,98,93,14,47,66,83,82,12,87,15,30,94,70,16
177,19,20,9,24,22,83,74,37,58,40,26,72,34,38,98,91
178,28,75,33,94,43,84,21,68,95,10,45,36,10,7,59,68
179,98,64,82,7,28,78,16,22,72,0,5,16,12,1,37,14
180,15,52,77,56,39,31,65,52,90,60,63,31,59,20,16,63
181,96,4,44,41,91,83,91,57,94,16,52,76,47,23,41,62
182,47,84,40,47,11,33,39,5,70,36,49,85,55,4,82,65
183,54,14,60,40,89,91,44,47,2,19,9,44,10,54,77,18
184,47,88,71,56,75,18,1,9,35,15,51,91,67,85,51,20
185,94,21,30,41,18,35,88,18,58,53,18,62,98,73,96,81
186,31,45,72,14,85,87,10,98,53,1,54,35,13,39,25,74
187,30,49,65,75,3,56,15,98,5,70,90,81,52,52,80,58
188,48,96,34,62,12,33,33,76,40,56,32,33,95,61,66,23
189,41,13,64,72,74,84,2,18,91,37,62,51,98,84,43,38
190,25,26,21,86,65,89,43,75,1,73,97,85,42,13,18,76
191,53,42,48,20,48,38,75,17,76,62,30,39,8,93,60,92
192,46,61,35,75,75,51,72,89,37,89,78,39,42,10,12,6
193,22,42,9,15,59,47,56,68,20,75,5,44,68,81,7,21
194,88,34,7,91,69,62,39,54,74,67,35,16,71,50,31,67
195,3,61,88,66,39,8,4,21,97,11,40,60,23,36,99,99
196,35,24,3,91,37,25,42,6,71,12,30,51,53,7,37,44
197,1,91,82,61,36,54,10,85,91,49,99,11,19,2,83,39
198,61,86,0,2,14,98,97,68,73,88,4,59,50,40,27,83
199,45,55,62,93,59,98,25,69,46,63,19,12,59,10,84,64
200,4,35,0,4,37,41,69,44,84,81,44,6,58,45,96,48
201,21,30,28,91,0,52,98,0,38,52,46,46,47,93,63,9
202,99,41,24,68,46,56,25,87,69,64,65,31,91,86,89,87
203,81,6,84,39,11,88,34,95,50,32,72,86,19,35,38,96
204,40,44,33,88,44,88,88,53,25,90,20,38,5,33,86,94
205,4,62,20,95,31,47,68,30,49,39,61,46,95,84,14,59
206,45,59,33,5,31,68,81,26,20,47,11,16,58,29,80,36
207,42,86,41,69,92,96,51,59,23,64,77,70,92,50,28,89
208,99,30,70,32,83,93,60,36,93,22,91,21,0,35,51,28
209,34,24,17,34,44,30,21,94,83,55,85,43,17,39,28,10
210,2,35,87,2,10,6,99,63,74,31,62,26,78,18,82,93
211,24,78,0,17,11,45,78,95,45,45,4,64,25,80,62,80
212,75,89,87,53,72,82,91,7,66,11,59,14,84,12,91,33
213,53,4,37,16,78,2,24,90,68,20,14,53,34,79,94,83
214,13,28,7,99,87,30,45,16,7,24,10,11,34,10,94,98
215,33,38,13,57,95,20,23,88,52,37,87,67,94,36,27,60
216,38,92,14,5,51,43,2,38,30,59,44,35,54,4,37,29
217,22,23,83,8,51,31,71,71,19,48,31,94,46,96,43,20
218,44,27,73,31,73,98,95,89,12,47,49,19,35,32,19,90
219,39,45,22,19,66,87,20,25,29,93,84,29,41,29,13,20
220,27,19,98,6,21,20,45,64,77,74,81,23,65,84,72,87
221,50,90,9,25,70,47,84,53,54,70,35,97,50,37,19,49
222,62,35,6,62,81,85,77,39,84,48,84,91,14,62,86,67
223,75,23,17,74,84,49,76,56,51,99,37,42,51,67,52,41
224,70,4,27,64,78,20,62,53,18,59,97,12,0,8,49,93
225,47,35,6,97,55,97,21,57,17,55,22,91,5,41,95,99
226,88,77,53,61,49,59,76,34,81,38,59,58,11,18,15,24
227,96,63,29,39,4,20,34,13,54,17,44,16,84,71,30,42
228,71,22,70,32,33,11,43,86,89,78,20,76,40,8,24,48
229,87,73,86,71,82,25,32,80,22,68,72,75,20,36,25,76
230,74,23,12,65,21,54,64,93,92,7,28,73,8,36,31,70
231,46,30,40,51,86,14,89,5,60,36,1,52,57,20,99,69
232,86,53,13,95,23,38,71,36,80,47,41,94,46,27,49,17
233,61,16,47,73,59,45,26,76,8,49,74,81,88,27,22,40
234,4,93,30,10,97,95,32,75,77,1,62,8,3,65,61,84
235,94,9,5,53,75,44,67,10,84,60,89,13,26,61,81,24
236,17,84,61,63,61,13,87,43,9,15,81,17,61,39,63,48
237,94,35,7,52,11,41,0,79,4,56,41,64,61,9,14,71
238,72,96,55,40,63,41,29,10,96,85,65,20,85,40,4,34
239,64,39,67,19,94,10,21,46,28,18,16,29,29,81,64,77
240,85,31,3,99,42,97,30,96,85,2,87,57,44,6,91,91
241,59,20,52,93,98,42,45,89,15,67,38,32,11,31,1,23
242,99,17,75,39,14,55,40,38,19,32,95,77,34,5,1,77
243,12,95,22,84,93,71,32,50,67,88,41,64,90,54,77,52
244,52,84,18,76,5,37,1,26,97,7,27,65,42,99,22,38
245,24,41,30,25,22,26,70,20,83,99,41,97,86,52,59,96
246,19,6,36,43,52,8,67,29,64,11,66,19,13,18,36,54
247,8,39,66,37,94,94,5,42,48,61,61,58,24,22,39,8
248,12,14,43,4,37,90,83,29,33,45,89,56,95,38,7,80
249,78,98,47,70,19,14,50,92,58,56,71,16,25,10,69,36
250,2,62,87,49,43,67,99,72,44,13,87,15,2,91,29,75
251,77,44,36,15,83,65,53,9,15,0,79,65,39,64,1,54
252,95,84,97,22,39,96,40,86,72,44,6,26,94,71,19,23
253,71,88,51,4,8,53,86,95,17,91,48,21,21,77,8,9
254,52,12,50,0,67,26,86,32,56,43,64,58,47,8,1,28
255,45,53,36,53,16,85,21,89,85,59,83,36,48,91,1,69
256,81,6,70,3,72,24,73,27,32,18,85,94,86,91,88,46
257,33,6,40,82,85,24,6,57,11,14,84,89,97,95,91,29
258,30,26,31,48,54,79,71,19,67,41,84,65,96,23,91,85
259,93,93,12,2,87,10,30,52,59,36,93,66,94,69,57,53
260,10,46,53,20,23,93,7,57,72,60,99,54,48,53,42,31
261,8,95,31,31,38,47,27,90,67,65,0,35,40,97,9,95
262,42,4,4,39,67,56,73,62,68,88,93,99,42,85,86,92
263,67,77,9,63,56,14,0,18,20,66,32,77,98,24,20,29
264,1,27,57,42,33,89,75,73,34,23,99,36,54,49,91,37
265,84,26,77,27,98,18,39,98,59,9,19,91,93,25,23,98
266,49,9,58,38,20,24,64,26,73,21,41,8,66,78,53,95
267,51,51,33,74,6,34,23,55,60,93,89,35,73,51,74,0
268,85,82,80,33,20,17,89,9,15,82,27,30,38,58,94,0
269,3,88,70,50,13,49,51,58,84,38,0,88,47,30,56,13
270,36,1,86,39,61,83,54,7,58,77,98,95,67,71,36,32
271,40,71,85,65,36,53,13,93,52,88,56,7,25,5,57,34
272,73,89,10,43,17,53,21,10,19,42,31,91,27,62,6,27
273,36,14,76,76,89,32,84,37,67,53,84,13,22,41,1,4
274,19,86,54,91,76,57,11,25,53,95,71,46,99,91,93,38
275,99,71,61,90,70,16,83,14,67,60,79,72,79,10,88,8
276,27,58,5,76,89,24,62,46,35,16,86,9,58,17,87,86
277,29,33,97,71,63,22,5,13,81,24,76,13,90,85,42,69
278,83,73,24,95,10,26,50,21,31,3,3,25,69,53,29,32
279,6,55,60,51,11,17,49,78,76,84,33,20,85,86,38,89
280,96,96,18,84,13,35,13,16,9,97,67,12,66,93,59,41
281,33,38,58,5,6,94,85,64,23,54,57,38,51,61,63,49
282,34,17,91,7,13,92,4,7,10,22,65,16,26,47,54,50
283,55,67,43,52,62,7,50,0,82,35,99,59,76,50,51,85
284,72,0,69,17,91,51,43,30,14,24,33,18,89,98,43,91
285,29,88,28,37,59,99,10,71,66,51,39,58,65,38,86,82
286,99,74,84,72,59,6,95,19,16,3,49,46,50,59,37,72
287,37,59,4,77,21,60,67,26,51,72,42,36,84,33,98,7
288,85,35,47,33,96,39,27,47,34,89,93,49,96,14,5,33
289,16,28,42,10,91,73,13,64,83,24,81,18,19,6,71,85
290,82,33,90,94,10,92,77,33,46,13,22,34,30,56,91,99
291,63,32,75,28,54,13,7,38,26,59,33,25,79,1,63,92
292,59,29,16,31,83,93,65,29,46,16,12,26,38,22,69,58
293,11,86,32,59,89,28,62,61,78,59,82,60,32,38,11,29
294,10,8,96,6,82,32,57,95,25,12,5,67,2,20,17,87
295,11,85,33,19,89,4,49,7,7,4,38,0,54,24,30,98
296,51,19,7,88,79,12,7,91,58,94,35,99,26,2,49,99
297,27,23,68,79,26,23,70,98,10,70,5,55,62,12,27,59
298,23,60,48,31,29,8,5,96,50,85,65,28,39,36,35,70
299,68,76,20,64,43,65,22,4,61,75,55,6,0,7,40,91
300,64,62,61,69,60,99,99,46,36,27,67,78,17,25,58,6
301,7,19,72,63,64,55,42,72,30,20,54,54,8,47,50,93
302,20,79,31,26,15,33,76,57,53,60,18,64,65,77,85,35
303,40,99,70,98,88,0,5,96,77,88,21,59,47,4,62,7
304,99,85,98,37,78,44,70,95,93,18,5,48,88,29,62,79
305,82,12,41,90,98,19,69,47,93,73,16,96,8,93,71,51
306,86,67,26,30,94,51,59,33,89,48,89,86,46,72,72,42
307,57,21,16,51,86,59,61,56,85,52,89,45,2,95,71,75
308,25,10,73,18,17,1,14,64,1,78,9,35,72,82,21,88
309,85,47,41,25,89,47,74,38,91,64,12,76,24,87,57,38
310,74,72,28,15,35,9,75,28,7,50,80,37,12,11,33,12
311,40,60,92,0,25,64,7,38,35,35,12,97,68,74,10,68
312,60,32,44,87,98,99,45,20,54,8,30,26,25,40,98,16
313,85,45,4,30,93,90,99,29,36,82,10,17,44,31,76,64
314,48,2,75,39,4,68,21,97,65,64,8,83,50,13,22,36
315,21,36,89,48,31,90,73,38,75,83,49,4,9,31,22,59
316,36,32,33,30,67,1,87,68,35,67,58,95,54,63,17,6
317,40,85,98,68,61,51,46,68,13,0,88,49,15,50,55,76
318,90,27,54,68,32,1,23,69,8,43,42,32,35,42,19,36
319,72,83,16,17,70,48,23,47,41,39,0,81,40,89,75,65
320,45,19,19,95,71,62,11,55,23,3,95,51,50,3,87,1
321,32,95,44,35,80,61,25,96,66,24,34,23,1,47,41,65
322,12,42,35,73,39,71,85,34,31,29,76,50,0,47,63,13
323,66,75,58,68,45,2,37,77,21,52,40,76,38,7,84,79
324,82,10,83,39,77,22,49,11,4,52,8,81,19,78,35,4
325,10,47,29,56,24,72,88,54,86,5,29,83,44,50,72,86
326,37,66,3,92,86,55,82,40,69,59,9,55,49,62,4,96
327,7,32,27,40,86,29,66,43,98,55,95,57,47,98,75,11
328,24,38,4,15,55,65,37,29,78,45,56,7,43,94,22,50
329,33,45,4,83,6,38,72,98,56,61,90,68,58,1,49,40
330,17,92,24,23,44,25,29,16,49,6,48,62,52,16,33,22
331,32,52,4,21,11,91,65,71,17,34,15,34,99,79,98,89
332,37,84,94,12,29,25,58,54,4,8,32,15,83,82,28,97
333,64,43,33,81,10,37,0,68,90,59,22,90,40,34,47,63
334,49,5,97,70,91,11,48,26,67,70,3,69,8,26,47,66
335,21,26,60,61,58,16,78,74,51,23,60,56,90,31,56,89
336,84,69,91,34,58,68,32,36,15,46,75,53,19,16,87,4
337,34,91,56,23,78,48,62,0,92,7,28,39,9,80,16,42
338,98,25,44,57,7,98,37,34,70,37,36,85,91,87,31,76
339,29,37,93,35,61,32,7,37,1,19,5,43,39,27,75,95
340,90,92,6,27,8,17,16,81,72,17,59,82,35,30,4,76
341,34,35,27,88,69,63,87,28,72,41,66,22,20,51,92,54
342,96,73,45,75,52,70,32,11,35,63,78,53,79,98,55,26
343,63,92,47,25,55,90,71,21,82,73,61,68,90,18,90,37
344,70,86,50,11,15,27,87,1,43,25,1,76,37,36,62,67
345,4,16,3,3,17,56,74,27,37,38,60,67,84,85,33,58
346,92,39,33,99,25,72,15,7,27,59,1,28,15,14,81,12
347,34,46,0,19,35,4,72,65,22,80,97,5,30,66,59,84
348,2,40,36,3,34,93,5,32,0,81,97,53,12,9,65,22
349,0,87,52,91,52,87,71,93,33,86,75,81,95,28,3,55
350,52,25,9,13,89,35,62,51,16,14,86,51,89,39,39,63
351,94,64,70,8,99,77,92,10,70,36,14,68,29,33,82,19
352,56,27,49,6,37,12,6,37,85,48,51,25,58,85,33,15
353,51,26,51,42,18,28,8,20,41,91,1,89,28,79,28,36
354,16,41,61,86,27,33,25,26,27,79,71,93,81,2,76,85
355,14,24,66,79,16,91,3,73,26,96,8,21,72,77,93,80
356,46,8,87,39,82,61,82,97,36,59,3,7,68,30,58,64
357,95,34,84,53,97,2,35,97,49,91,92,34,56,47,96,41
358,39,35,12,96,69,93,96,49,35,38,62,54,62,40,8,29
359,65,73,55,61,51,48,5,69,55,45,76,8,62,64,91,34
360,40,34,81,49,35,37,78,94,44,58,11,51,66,79,81,54
361,40,65,20,71,37,47,80,66,82,65,78,0,64,49,60,59
362,51,6,93,20,84,54,90,89,87,83,10,86,9,9,61,53
363,9,39,42,92,23,17,95,59,57,21,90,90,39,6,17,70
364,34,47,2,33,12,49,85,43,84,7,59,26,37,1,80,58
365,66,91,46,57,25,52,19,54,94,85,33,84,1,97,46,76
366,30,25,45,44,46,48,0,33,23,5,10,31,50,21,37,68
367,77,75,78,42,62,2,30,15,39,3,80,61,30,20,9,99
368,57,96,64,7,37,14,30,41,73,8,77,4,78,53,26,28
369,64,89,98,50,47,79,54,47,58,68,87,82,72,7,82,55
370,24,72,88,48,94,41,42,25,10,78,83,83,18,31,95,21
371,73,29,49,48,24,81,60,29,16,60,18,28,72,60,43,5
372,21,12,20,30,28,9,54,68,78,65,78,9,42,26,45,38
373,53,83,21,66,1,4,36,5,87,8,99,88,81,6,5,71
374,4,53,83,52,88,89,23,97,95,85,93,14,80,51,55,45
375,7,71,51,55,47,92,31,26,36,60,48,23,32,52,13,9
376,6,44,92,83,85,13,43,56,14,96,34,65,8,44,19,86
377,45,39,91,19,68,59,63,77,30,65,96,50,27,77,72,2
378,36,35,52,59,35,8,82,90,45,9,29,13,62,58,47,71
379,52,75,35,0,85,23,58,80,97,77,1,30,76,42,30,62
380,28,37,14,2,30,97,99,53,74,63,23,64,59,72,95,99
381,26,68,98,96,92,72,16,92,98,96,46,82,47,2,34,90
382,87,18,80,26,34,41,29,37,47,27,74,63,62,9,98,10
383,25,17,32,26,19,51,76,37,54,51,44,24,70,78,8,65
384,4,88,24,27,25,3,41,51,85,15,69,23,50,26,24,63
385,83,30,29,56,61,80,7,77,65,43,62,83,13,21,89,3
386,21,44,30,57,27,98,8,18,92,84,19,11,72,6,94,58
387,98,93,98,27,19,34,89,80,72,49,27,91,84,25,32,0
388,97,92,72,54,9,31,87,52,65,10,23,7,62,88,5,99
389,56,65,6,82,45,27,20,95,30,96,32,91,8,72,44,51
390,82,27,28,77,4,57,35,15,7,37,67,53,1,60,37,75
391,37,65,71,74,95,42,59,52,64,39,69,42,94,40,71,61
392,14,71,96,89,34,98,68,13,51,45,60,72,15,17,66,24
393,73,28,52,4,61,37,34,77,46,13,45,21,21,44,74,83
394,0,49,67,96,47,8,46,96,49,90,62,78,19,38,78,83
395,67,65,88,55,65,77,14,79,46,31,84,12,66,97,23,80
396,15,4,23,81,92,51,91,20,53,44,39,37,1,16,25,18
397,7,47,91,81,39,98,21,76,67,81,99,8,48,7,60,93
398,93,44,46,45,48,12,17,46,42,39,41,99,31,37,6,52
399,99,77,80,20,9,46,85,98,71,66,84,14,26,37,18,48
400,9,21,23,68,49,38,96,28,39,93,84,68,85,32,30,35
401,89,12,26,9,17,47,79,73,41,66,50,89,28,33,22,19
402,53,89,28,27,21,20,27,7,57,35,32,93,79,2,5,32
403,91,9,18,68,29,91,95,21,10,83,80,37,62,17,67,52
404,12,34,54,61,46,68,50,72,13,45,99,76,13,92,42,2
405,31,87,59,62,20,33,45,26,79,7,12,73,74,67,22,72
406,18,74,8,99,48,11,51,95,93,11,6,73,66,18,77,52
407,87,47,1,48,30,85,31,37,21,76,39,80,59,83,5,5
